Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
INAFM2,283,190,156,360,208,96,267,333,241,161,263
INCA1,114,57,46,86,45,33,51,22,102,60,63
INCENP,79,72,47,112,51,39,102,144,80,102,68
INE1,5,0,3,2,8,1,2,3,1,4,6
INE2,0,0,0,0,0,0,0,0,0,0,0
INF2,294,550,488,470,271,254,392,1135,330,821,559
ING1,174,155,187,188,216,79,145,320,181,127,140
ING2,163,83,113,156,187,181,260,101,224,169,133
ING3,92,114,93,100,129,35,87,168,96,101,85
ING4,179,253,234,204,216,108,256,384,202,345,179
ING5,127,160,187,211,164,59,143,180,109,125,140
INGX,0,0,0,0,0,0,0,0,0,1,1
INHA,10,14,4,4,5,0,13,4,1,24,8
INHBA,5,2,11,6,4,7,10,24,2,12,6
INHBA-AS1,0,1,0,0,0,0,0,2,0,0,0
INHBB,23,89,46,59,276,14,15,126,45,138,38
INHBC,2,0,4,2,0,0,1,0,2,0,0
INHBE,14,7,26,52,11,9,10,6,13,14,26
INIP,53,45,25,44,25,20,64,66,40,39,40
INMT,282,213,268,168,217,121,265,510,278,420,259
INMT-FAM188B,0,0,0,3,0,0,0,0,0,52,39
INO80,388,333,364,508,442,186,644,533,375,437,408
INO80B,174,143,141,136,146,69,185,247,175,161,160
INO80B-WBP1,0,63,0,46,0,0,0,0,0,0,0
INO80C,269,248,260,169,277,148,378,210,276,167,306
INO80D,137,198,186,254,146,62,316,229,153,184,135
INO80E,330,423,357,427,365,192,498,526,446,490,384
INPP1,252,272,196,195,273,137,281,373,183,358,186
INPP4A,235,194,179,483,188,170,400,356,229,229,213
INPP4B,88,36,112,142,94,74,134,104,96,105,100
INPP5A,1328,1887,1554,1559,1575,877,2274,1373,1696,1454,1243
INPP5B,80,108,125,190,73,84,147,177,130,143,122
INPP5D,42,69,59,73,27,38,66,91,72,166,40
INPP5E,227,194,132,231,208,118,204,326,146,169,244
INPP5F,117,83,99,114,90,85,105,154,129,63,60
INPP5J,74,11,130,98,66,36,50,10,104,47,161
