Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA5158183,-40.783791289595094,-18.686776057884924,19.743256757243675,15.504140928064137,-6.541752383521233,24.342886628504385,2.7587375230870848,-10.302625244642504,4.837352435842208,-3.758408780791892,-15.691596,-1.9396404,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158184,-63.60510512659568,-7.309614319383382,8.381951396000266,26.668396799815483,0.5675834351602557,22.605228478552053,2.201970315373378,-6.901228639860524,-4.715840861802761,-4.231710658604904,-15.133365,-0.98318696,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158185,-38.98752784220857,-19.926033343677855,18.032351619088594,22.046490295412614,-1.3600550501699702,28.703823216770402,1.5066224806570911,-13.819191809969926,-1.4124386515419676,-1.729541169876801,-15.727928,-2.0758424,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158186,-59.21284910773075,-11.369006372402643,7.174202977896605,22.183104003419267,-0.9309533761585698,27.384203299943554,4.705297824538092,-7.951247929890091,-6.365932061274458,-0.897188500676709,-14.934317,-1.4485053,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158187,-94.53675454278228,16.176235517697464,1.1441988957480447,-3.2666382107097167,11.063916156410034,49.472136653623586,-4.119617187807026,10.061850388246155,10.919905556635108,3.4519304361433147,-14.522991,-0.9044457,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158188,-61.30933828055497,-12.073379682644552,11.100730519384877,27.842449402425736,2.9734147078076343,24.542158519527582,-1.312654454587693,-3.138029340677041,0.5555997580511653,-3.1446854019078563,-14.939977,-1.2112365,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158189,-108.36386059522378,18.555553140581804,-7.373200399509008,10.509104610691452,18.981354674312186,40.718613419461015,-7.102160313845932,11.440739513115195,6.800801666019392,0.4914567181722021,-14.501628,-0.7089169,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158190,-37.15797247438048,-13.010000011741072,23.824901628698314,4.496887462857563,-7.100583970965797,33.940443706636344,-5.1881515841590335,-13.465690956118408,0.9160976486495109,-2.3414147289524028,-15.363766,-2.129949,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158191,-43.8068672679108,-7.252939089252107,20.971379658600792,21.64356164009767,0.9691868631640379,15.426931806688494,-6.664242959877773,-8.886433805827831,1.704038596112979,-4.960008605104871,-15.35663,-1.8979942,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158192,-48.09868853867883,-15.289248459961687,14.263868348506898,22.16708338588363,0.9319174131070384,20.30508222361768,-5.220192226058805,-9.210004866772644,-1.823113186138818,-6.790114824978782,-15.248428,-2.0158284,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158193,-59.56584315266906,-16.72423007446998,6.712662869953846,31.8161543366592,-0.1332004280595988,18.38518162798076,8.092465297864052,-7.646365414351445,-0.2714960654116415,2.4252819479902556,-15.604742,-0.8648428,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158194,-53.91323821323285,-12.153850552811397,14.468616791139722,28.202342419302816,-5.299286172519688,16.866280622520016,2.803392446456266,-5.396816048153012,2.475992329617257,-2.3810463083611584,-15.659594,-1.056568,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158195,-108.8627516499755,19.74235097777095,-9.579400686235015,8.186347204509243,11.27254373847589,37.42163196914877,2.7391687815106947,14.424739717260538,11.497973268151581,10.057611337174489,-14.644649,-0.8694457,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158196,-61.53142753944165,-9.582110344907742,9.277280084329561,25.545175869294155,-6.446603570716391,23.770354764864035,1.379174987287369,-4.562376429975631,-3.7848792245816982,-1.874743410890613,-15.0709305,-1.1113294,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158197,-33.829778459741846,-26.621157814030827,17.926049086723776,22.83593788554003,4.029025808882351,22.05713622194985,4.372060592896139,-14.500325224045358,-0.10986295261002507,-1.205214021247644,-15.727984,-1.9202178,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158198,-40.48204133131234,-20.09771975676747,18.89978010734452,21.921589852490307,-8.498980407681996,15.523654690094983,3.1798383118689237,-10.787034534306436,3.4806122401412343,-4.186980370317021,-15.975767,-1.8205774,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
